Restaurant Name,Food_ID,Food Item,Price,Category,Description,Image,Rating,Review,Featured
Naija Delight,9327,Plantain and Omelette,140,Breakfast,Plantain and Omelette is a flavorful breakfast option that includes ripe plantains and a fluffy omelette.,image,4,Good portion size and value for money.,True
Naija Delight,2148,Yam and Egg,200,Breakfast,Yam and Egg is a classic Nigerian breakfast dish consisting of boiled or fried yam served with scrambled or fried eggs.,image,4,Good portion size and value for money.,False
Naija Delight,9509,Indomie and egg,250,Breakfast,"Indomie is an extremely popular instant noodle brand in Nigeria. People can get very creative when preparing Indomie, and usually pair it with fried or boiled egg.",image,4,Good portion size and value for money.,False
Mcdonalds,6423,Pap and Akara,200,Breakfast,"Pap and Akara is a popular Nigerian breakfast combination, featuring soft pap (a porridge made from corn or rice) served with akara (bean cakes).",image,4,Good portion size and value for money.,True
Mcdonalds,3940,Bread and Tea,150,Breakfast,"Bread and Tea is a simple and common Nigerian breakfast option, with sliced bread served alongside a cup of hot tea or coffee.",image,4,Good portion size and value for money.,True
Mcdonalds,9055,Pancake,200,Breakfast,Pancakes are another staple breakfast dish in Nigeria. Most children love pancakes. There is also the Nigerian pancake called Diet.,image,4,Good portion size and value for money.,True
Mcdonalds,2480,Moin Moin and Bread,16,Breakfast,Moin Moin and Bread is a traditional Nigerian breakfast pairing of steamed bean pudding (moin moin) and slices of bread.,image,4,Good portion size and value for money.,True
Naija Delight,3846,Fried Plantain and Eggs,14,Breakfast,Fried Plantain and Eggs is a delightful breakfast choice with ripe fried plantains served alongside scrambled or fried eggs.,image,4,Good portion size and value for money.,True
Chicken and Grills,9689,Boiled Plantains  and pepper sauce,200,Breakfast,"Boiled plantains and pepper sauce make a delicious and flavorful combination. The boiled plantains provide a starchy and slightly sweet base, while the spicy and tangy pepper sauce adds a zesty kick to the meal.",image,4,Good portion size and value for money.,False
Mcdonalds,1328,Okpa and custard,100,Breakfast,Okpa is the local name for Bambara nuts. It is also the name of the boiled pudding made with the Bambara nut powder.,image,4,Good portion size and value for money.,True
Chicken and Grills,7477,Egusi Soup,700,Soups,"Egusi Soup is a rich and hearty Nigerian soup made from ground melon seeds, vegetables, and often enjoyed with pounded yam or eba.",image,4,Good portion size and value for money.,True
